1941.png	thought balloon	💭️	\U0001F4AD\U0000FE0F	U+1F4AD	thought balloon
1942.png	zzz	💤️	\U0001F4A4\U0000FE0F	U+1F4A4	zzz
1943.png	waving hand	👋️	\U0001F44B\U0000FE0F	U+1F44B	waving hand
1944.png	raised back of hand	🤚️	\U0001F91A\U0000FE0F	U+1F91A	raised back of hand
1945.png	hand with fingers splayed	🖐️	\U0001F590\U0000FE0F	U+1F590	hand with fingers splayed
1946.png	raised hand	✋️	\U0000270B\U0000FE0F	U+270B	raised hand
1947.png	vulcan salute	🖖️	\U0001F596\U0000FE0F	U+1F596	vulcan salute
1948.png	OK hand	👌️	\U0001F44C\U0000FE0F	U+1F44C	OK hand
1949.png	pinched fingers	🤌️	\U0001F90C\U0000FE0F	U+1F90C	pinched fingers
1950.png	pinching hand	🤏️	\U0001F90F\U0000FE0F	U+1F90F	pinching hand
1951.png	victory hand	✌️	\U0000270C\U0000FE0F	U+270C	victory hand
1952.png	crossed fingers	🤞️	\U0001F91E\U0000FE0F	U+1F91E	crossed fingers
1953.png	love-you gesture	🤟️	\U0001F91F\U0000FE0F	U+1F91F	love-you gesture
1954.png	sign of the horns	🤘️	\U0001F918\U0000FE0F	U+1F918	sign of the horns
1955.png	call me hand	🤙️	\U0001F919\U0000FE0F	U+1F919	call me hand
1956.png	backhand index pointing left	👈️	\U0001F448\U0000FE0F	U+1F448	backhand index pointing left
1957.png	backhand index pointing right	👉️	\U0001F449\U0000FE0F	U+1F449	backhand index pointing right
1958.png	backhand index pointing up	👆️	\U0001F446\U0000FE0F	U+1F446	backhand index pointing up
1959.png	middle finger	🖕️	\U0001F595\U0000FE0F	U+1F595	middle finger
1960.png	backhand index pointing down	👇️	\U0001F447\U0000FE0F	U+1F447	backhand index pointing down
1961.png	index pointing up	☝️	\U0000261D\U0000FE0F	U+261D	index pointing up
1962.png	thumbs up	👍️	\U0001F44D\U0000FE0F	U+1F44D	thumbs up
1963.png	thumbs down	👎️	\U0001F44E\U0000FE0F	U+1F44E	thumbs down
1964.png	raised fist	✊️	\U0000270A\U0000FE0F	U+270A	raised fist
1965.png	oncoming fist	👊️	\U0001F44A\U0000FE0F	U+1F44A	oncoming fist
1966.png	left-facing fist	🤛️	\U0001F91B\U0000FE0F	U+1F91B	left-facing fist
1967.png	right-facing fist	🤜️	\U0001F91C\U0000FE0F	U+1F91C	right-facing fist
1968.png	clapping hands	👏️	\U0001F44F\U0000FE0F	U+1F44F	clapping hands
1969.png	raising hands	🙌️	\U0001F64C\U0000FE0F	U+1F64C	raising hands
1970.png	open hands	👐️	\U0001F450\U0000FE0F	U+1F450	open hands
1971.png	palms up together	🤲️	\U0001F932\U0000FE0F	U+1F932	palms up together
1972.png	handshake	🤝️	\U0001F91D\U0000FE0F	U+1F91D	handshake
1973.png	folded hands	🙏️	\U0001F64F\U0000FE0F	U+1F64F	folded hands
1974.png	writing hand	✍️	\U0000270D\U0000FE0F	U+270D	writing hand
1975.png	nail polish	💅️	\U0001F485\U0000FE0F	U+1F485	nail polish
